categorie,categorie_label,praxis_relevant,scor,regiune,npa,oras,adresa,titlu,tip_obiect,chirie_neta,nebenkosten,suprafata_utila,nr_imagini,lungime_descriere,url,folder
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1756.0,Cantonul Berna,3074,Muri b. Bern,"Feldstrasse 32a, 3074 Muri b. Bern","Feldstrasse 32a, 3074 Muri b. Bern - CHF 267",COMMERCIAL,242,25,983,12,2340,https://flatfox.ch/de/wohnung/feldstrasse-32a-3074-muri-b-bern/85475286/,B_buero_gewerbe/85475286-muri-b-bern-983m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1756.0,Cantonul Berna,3073,Gümligen,"Feldstrasse 32a, 3073 Gümligen","Feldstrasse 32a, 3073 Gümligen - CHF 267",OFFICE,242,25,983,12,2334,https://flatfox.ch/de/wohnung/feldstrasse-32a-3073-gumligen/85475290/,B_buero_gewerbe/85475290-guemligen-983m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1752.0,Cantonul Berna,2501,Biel/Bienne,"Zentralstrasse 63 C, 2501 Biel/Bienne","Zentralstrasse 63 C, 2501 Biel/Bienne - CHF 280",SHOP,280,,98,8,3950,https://flatfox.ch/de/wohnung/zentralstrasse-63-c-2501-bielbienne/86067475/,B_buero_gewerbe/86067475-biel-bienne-98m-ladenflaeche
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1751.0,Berna (oraș),3007,Bern,"Holzikofenweg 8, 3007 Bern","Holzikofenweg 8, 3007 Bern - CHF 6’375",OFFICE,5610,765,,12,2164,https://flatfox.ch/de/wohnung/holzikofenweg-8-3007-bern/86149624/,B_buero_gewerbe/86149624-bern-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1750.0,Berna (oraș),3012,Bern,"Falkenhöheweg 12a, 3012 Bern","Falkenhöheweg 12a, 3012 Bern - auf Anfrage",OFFICE,,,87,8,676,https://flatfox.ch/de/wohnung/falkenhoheweg-12a-3012-bern/1482177/,B_buero_gewerbe/1482177-bern-87m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1748.0,Cantonul Berna,2545,Selzach,"Dorfstrasse 34, 2545 Selzach","Dorfstrasse 34, 2545 Selzach - CHF 1’190 inkl. NK pro Monat",COMMERCIAL,1040,150,73,9,2573,https://flatfox.ch/de/wohnung/dorfstrasse-34-2545-selzach/86136284/,B_buero_gewerbe/86136284-selzach-73m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1744.0,Cantonul Berna,3073,Gümligen,"Worbstrasse 187, 3073 Gümligen","Worbstrasse 187, 3073 Gümligen - CHF 190 exkl. NK pro m² / Jahr",OFFICE,190,,2280,11,1821,https://flatfox.ch/de/wohnung/worbstrasse-187-3073-gumligen/1578919/,B_buero_gewerbe/1578919-guemligen-2280m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1744.0,Cantonul Berna,2540,Grenchen,"Bündengasse 22, 2540 Grenchen","Bündengasse 22, 2540 Grenchen - auf Anfrage",OFFICE,,,251,13,1631,https://flatfox.ch/de/wohnung/bundengasse-22-2540-grenchen/85837672/,B_buero_gewerbe/85837672-grenchen-251m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1744.0,Cantonul Berna,3855,Brienz BE,"Oberdorfstrasse 1, 3855 Brienz BE","Oberdorfstrasse 1, 3855 Brienz BE - CHF 3’350",COMMERCIAL,3000,350,202,12,2098,https://flatfox.ch/de/wohnung/oberdorfstrasse-1-3855-brienz-be/86068287/,B_buero_gewerbe/86068287-brienz-be-202m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1740.0,Berna (oraș),3018,Bern,"Wangenstrasse 86a, 3018 Bern","Wangenstrasse 86a, 3018 Bern - CHF 2’833 inkl. NK pro Monat",ATELIER,,480,145,16,1774,https://flatfox.ch/de/wohnung/wangenstrasse-86a-3018-bern/86098289/,B_buero_gewerbe/86098289-bern-145m-atelier
